created_at,PM1,PM2,PM4,PM10
2021-06-18 20:23:08 UTC,0.85,0.86,0.86,0.86
2021-06-18 20:15:40 UTC,1.36,1.37,1.37,1.37
2021-06-18 20:08:13 UTC,0.99,1,1,1
2021-06-18 20:00:48 UTC,1.46,1.47,1.47,1.47
2021-06-18 19:53:21 UTC,2.74,2.77,2.77,2.77
2021-06-18 19:39:47 UTC,3.07,3.1,3.1,3.1
2021-06-18 19:32:21 UTC,4.87,4.92,4.92,4.92
2021-06-18 19:24:52 UTC,5.9,5.96,5.96,5.96
2021-06-18 19:17:25 UTC,3.25,3.28,3.28,3.28
2021-06-18 19:09:57 UTC,2.64,2.66,2.66,2.66
2021-06-18 19:02:33 UTC,1.78,1.8,1.8,1.8
2021-06-18 18:48:58 UTC,1.45,1.47,1.47,1.47
2021-06-18 18:41:33 UTC,1.78,1.8,1.8,1.8
2021-06-18 18:34:09 UTC,2.57,2.6,2.6,2.6
2021-06-18 18:26:43 UTC,2.1,2.12,2.12,2.12
2021-06-18 18:19:17 UTC,3.52,3.56,3.56,3.56
2021-06-18 18:05:43 UTC,0.67,0.68,0.68,0.68
2021-06-18 17:58:17 UTC,1.16,1.17,1.17,1.17
2021-06-18 17:50:51 UTC,1.37,1.47,1.41,1.43
2021-06-18 17:41:17 UTC,2.49,2.52,2.52,2.52
2021-06-18 17:33:51 UTC,1.56,1.57,1.57,1.57
2021-06-18 17:26:25 UTC,1.85,1.86,1.86,1.86
2021-06-18 17:18:59 UTC,2.41,2.43,2.43,2.43
2021-06-18 17:11:32 UTC,2.54,2.57,2.57,2.57
2021-06-18 17:04:05 UTC,3.74,3.77,3.77,3.77
2021-06-18 16:56:39 UTC,5.46,5.52,5.52,5.52
2021-06-18 16:49:17 UTC,4.68,4.73,4.73,4.73
2021-06-18 16:31:34 UTC,3.44,3.48,3.48,3.48
2021-06-18 16:23:59 UTC,3.61,3.65,3.65,3.65
2021-06-18 16:16:30 UTC,4.02,4.06,4.06,4.06
2021-06-18 16:09:02 UTC,3.6,3.64,3.64,3.64
2021-06-18 16:01:38 UTC,2.14,2.16,2.16,2.16
2021-06-18 15:54:09 UTC,3.12,3.15,3.15,3.15
2021-06-18 15:46:43 UTC,1.71,1.73,1.73,1.73
2021-06-18 15:39:15 UTC,1.88,1.9,1.9,1.9
2021-06-18 15:31:48 UTC,5.31,5.36,5.36,5.36
2021-06-18 15:24:26 UTC,3.8,3.83,3.83,3.83
2021-06-18 15:17:01 UTC,2.63,2.65,2.65,2.65
2021-06-18 15:09:30 UTC,2.21,2.23,2.23,2.23
2021-06-18 15:02:05 UTC,3.56,3.6,3.6,3.6
2021-06-18 14:54:40 UTC,1.82,1.84,1.84,1.84
2021-06-18 14:41:06 UTC,1.97,1.99,1.99,1.99
2021-06-18 14:33:37 UTC,1.7,1.72,1.72,1.72
2021-06-18 14:26:12 UTC,1.94,1.96,1.96,1.96
2021-06-18 14:18:47 UTC,1.9,1.92,1.92,1.92
2021-06-18 14:05:10 UTC,3.47,3.51,3.51,3.51
2021-06-18 13:57:46 UTC,2.68,2.71,2.71,2.71
2021-06-18 13:50:24 UTC,2.44,2.46,2.46,2.46
2021-06-18 13:42:53 UTC,3.55,3.59,3.59,3.59
2021-06-18 13:23:04 UTC,9.53,9.62,9.62,9.62
2021-06-18 13:15:42 UTC,4.84,4.89,4.89,4.89
2021-06-18 13:08:17 UTC,3.32,3.36,3.36,3.36
2021-06-18 13:00:51 UTC,3.56,3.59,3.59,3.59
2021-06-18 12:47:17 UTC,1.72,1.74,1.74,1.74
2021-06-18 12:39:43 UTC,1.78,1.8,1.8,1.8
2021-06-18 12:32:15 UTC,10.52,10.63,10.63,10.63
2021-06-18 12:24:48 UTC,6.58,6.64,6.64,6.64
2021-06-18 12:11:12 UTC,1.85,1.87,1.87,1.87
2021-06-18 12:03:44 UTC,2.07,2.09,2.09,2.09
2021-06-18 11:56:20 UTC,1.49,1.51,1.51,1.51
2021-06-18 11:48:54 UTC,2.31,2.33,2.33,2.33
2021-06-18 11:35:20 UTC,1.85,1.87,1.87,1.87
2021-06-18 11:27:53 UTC,2.3,2.32,2.32,2.32
2021-06-18 11:20:25 UTC,3.69,3.73,3.73,3.73
2021-06-18 11:13:03 UTC,1.69,1.71,1.71,1.71
2021-06-18 11:05:38 UTC,1.67,1.68,1.68,1.68
2021-06-18 10:58:12 UTC,2.27,2.29,2.29,2.29
2021-06-18 10:50:49 UTC,3.99,4.03,4.03,4.03
2021-06-18 10:43:25 UTC,1.52,1.53,1.53,1.53
2021-06-18 10:29:52 UTC,3.05,3.08,3.08,3.08
2021-06-18 10:22:27 UTC,3.84,3.88,3.88,3.88
2021-06-18 10:15:04 UTC,2.01,2.03,2.03,2.03
2021-06-18 10:07:40 UTC,1.71,1.73,1.73,1.73
2021-06-18 10:00:12 UTC,2.75,2.78,2.78,2.78
2021-06-18 09:46:41 UTC,1.82,1.84,1.84,1.84
2021-06-18 09:39:16 UTC,6.85,1.9,1.9,1.9
2021-06-18 09:31:52 UTC,4.05,4.09,4.09,4.09
2021-06-18 09:12:08 UTC,2.85,2.87,2.87,2.87
2021-06-18 09:04:38 UTC,1.82,1.84,1.84,1.84
2021-06-18 08:57:06 UTC,2.04,2.06,2.06,2.06
2021-06-18 08:37:14 UTC,1.27,1.29,1.29,1.29
2021-06-18 08:29:48 UTC,2.53,2.56,2.56,2.56
2021-06-18 08:22:20 UTC,1.56,1.58,1.58,1.58
2021-06-18 08:02:36 UTC,1.69,1.7,1.7,1.7
2021-06-18 07:55:12 UTC,1.44,1.46,1.46,1.46
2021-06-18 07:47:46 UTC,1.66,1.68,1.68,1.68
2021-06-18 07:28:01 UTC,1.42,1.43,1.43,1.43
2021-06-18 07:20:36 UTC,1.3,1.32,1.32,1.32
2021-06-18 07:13:08 UTC,2.03,2.05,2.05,2.05
2021-06-18 06:53:24 UTC,1.75,1.77,1.77,1.77
2021-06-18 06:46:01 UTC,1.8,1.81,1.81,1.81
2021-06-18 06:38:38 UTC,1.93,1.95,1.95,1.95
