created_at,PM1,PM2,PM4,PM10
2020-02-12 15:23:23 UTC,20.67,20.98,21.03,21.04
2020-02-12 14:59:27 UTC,22.59,23.12,23.23,23.01
2020-02-12 14:51:48 UTC,22.84,23.59,23.73,23.77
2020-02-12 14:44:10 UTC,22.26,22.53,22.57,22.58
2020-02-12 14:36:24 UTC,22.41,22.74,22.79,22.8
2020-02-12 14:28:46 UTC,20.53,20.87,20.94,20.96
2020-02-12 14:21:08 UTC,19.6,19.87,19.91,19.92
2020-02-12 14:12:58 UTC,19.13,19.41,18.88,19.35
2020-02-12 14:05:19 UTC,18.41,18.97,18.49,19
2020-02-12 13:55:59 UTC,15.32,18.84,18.94,18.97
2020-02-12 13:48:20 UTC,16.72,16.97,17.01,17.02
2020-02-12 13:40:42 UTC,16.31,16.51,16.52,16.52
2020-02-12 13:32:54 UTC,15.69,15.9,15.98,15.99
2020-02-12 13:25:15 UTC,14.73,15.25,15.39,15.42
2020-02-12 13:17:36 UTC,14.29,14.45,14.48,14.48
2020-02-12 13:09:57 UTC,13.67,14.35,14.22,14.23
2020-02-12 13:02:19 UTC,13.75,13.97,14.07,14.09
2020-02-12 12:54:38 UTC,12.65,12.83,12.98,13
2020-02-12 12:46:24 UTC,12.87,13.07,13.12,13.14
2020-02-12 12:38:44 UTC,13.6,13.84,13.76,13.48
2020-02-12 12:31:06 UTC,12.82,12.95,12.95,12.95
2020-02-12 12:23:28 UTC,13.03,13.26,13.36,13.39
2020-02-12 12:15:49 UTC,12.21,12.45,12.5,12.69
2020-02-12 12:08:08 UTC,12.36,12.62,12.92,12.94
2020-02-12 12:00:30 UTC,12.23,12.55,12.37,12.71
2020-02-12 11:52:22 UTC,12.55,12.42,12.75,12.76
2020-02-12 11:44:44 UTC,12.78,12.88,12.95,12.8
2020-02-12 11:37:06 UTC,12.14,11.95,13.31,12.26
2020-02-12 11:29:27 UTC,11.5,11.66,12.26,12.28
2020-02-12 11:20:34 UTC,11.23,11.42,11.3,11.32
2020-02-12 11:12:56 UTC,11.54,11.76,11.93,11.94
2020-02-12 11:05:18 UTC,11,11.03,11.03,11.04
2020-02-12 10:57:39 UTC,10.98,11.08,11.08,11.08
2020-02-12 10:49:18 UTC,11.83,11.69,11.62,11.63
2020-02-12 10:41:40 UTC,11.81,11.28,11.39,11.41
2020-02-12 10:34:02 UTC,11.38,11.44,11.5,11.52
2020-02-12 10:26:23 UTC,11.59,11.6,12.38,12.38
2020-02-12 10:18:41 UTC,11.75,11.94,12.11,12.12
2020-02-12 10:11:02 UTC,12.22,12.77,12.78,12.78
2020-02-12 10:02:53 UTC,11.12,11.5,11.54,11.54
2020-02-12 09:55:15 UTC,11.02,11.13,11.14,11.14
2020-02-12 09:47:36 UTC,10.24,10.44,11.84,11.85
2020-02-12 09:39:58 UTC,11.41,11.56,11.47,11.49
2020-02-12 09:32:20 UTC,11.6,11.78,11.81,11.81
2020-02-12 09:24:41 UTC,10.73,10.9,10.95,10.95
