jan,apr,aug
24.99,8.82,0.84
26.82,9.13,2.05
25.81,9.39,1.88
25.75,9.44,1.78
26.02,9,1.85
25.84,8.94,1.15
27.12,8.78,2.22
26.65,9.32,2.24
26.28,9.16,2.11
27.03,8.68,2.4
25.33,9.36,2.44
25.79,9.03,2.96
24.4,9.01,3.28
24.57,8.62,3.45
26.21,8.68,2.38
25.9,9.42,2.24
26,9.29,2.08
28.7,9.55,2.02
27.56,8.76,2.32
27.95,8.79,2.24
29.06,8.94,2.18
29.46,9.13,2.14
30.17,9.3,2.45
31.22,9.48,2.28
35.18,9.39,2.31
30.98,9.04,3.42
35.44,9.11,2.82
33.35,9.54,2.5
34.59,9.28,2.27
38.04,8.7,2.2
37.66,9.28,3.31
34.97,9.07,1.28
47.02,8.96,1.6
173.22,9.08,1.73
58.31,9.05,2.64
260.91,8.66,1.95
56.93,9.31,1.67
49.19,9.46,1.51
46.72,9.79,1.41
47.22,9.81,1.79
49.97,9.63,1.3
174.78,9.92,1.32
48.25,10.03,1.51
49.99,9.7,1.9
50.1,10.04,1.63
48.05,9.44,1.37
47.33,9.23,1.47
47.29,8.93,1.58
46.74,8.89,1.44
46.17,8.8,1.07
45.36,8.85,1.15
46.04,8.78,1.28
44.47,9.27,1.33
47.31,9.5,1.48
49.57,9.7,1.37
50.84,9.77,1.48
50.86,9.65,2.63
31.03,9.54,2.35
30.26,9.84,1.76
31.35,9.35,2.43
30.09,10.17,2.64
28.87,9.86,1.95
26.61,10.05,3.35
26.91,10.53,1.87
27.72,9.89,2.23
29.35,9.82,3.19
28.13,10.15,1.99
27.62,9.97,1.73
30.53,10.18,1.76
24.46,9.51,1.94
23.09,9.05,1.69
22.45,9.41,2.07
22.68,9.06,2.22
20.72,9.5,2.42
22.08,9.5,1.99
21.88,9.59,2.14
25.55,9.38,2.86
25.46,9,2.22
24.71,9.48,2.23
16.35,8.86,1.74
16.79,9.71,2.18
16.61,8.98,2.21
19.54,8.73,2.2
18.07,8.85,2.14
18.65,8.72,2.26
15.32,8.85,2.1
13.61,8.69,1.79
18.25,9.07,2.05
16.65,9.22,1.91
18.91,9.67,2.73
19.55,9.75,2.12
19.08,9.91,2.3
18.64,10.17,3.35
17.72,10.53,2.38
16.94,10.14,2.77
24.29,11.05,1.76
24.17,10.51,2.13
13.4,10.72,1.51
12.74,10.63,1.82
12.75,11.14,3.2
13.7,10.97,1.99
11.12,11.16,2.28
11.69,9.57,4.18
11.82,10.06,3.09
12.12,10.46,3.36
12.58,10.5,5.45
21.57,10.62,2.34
16.53,10.55,2.65
15.62,9.87,2.11
28.41,10.53,4.09
16.83,11.04,3.14
18.4,10.12,4.51
15.92,10.5,2.58
17.61,10.43,3.66
16.98,10.34,3.52
17.57,9.93,1.9
20.81,9.73,2.78
18.86,9.9,4.41
19.38,10.55,3.11
17.5,9.56,4.12
25,9.89,6.54
19.05,9.59,9.08
22.82,9.49,9.4
23.49,9.96,9.43
20.46,8.7,9.38
22.06,9.54,12.76
23.76,9.31,7.83
21.67,9.54,5.84
22.27,10,6.14
24.77,8.97,7.36
22.33,9.27,9.26
19.27,9.61,5.67
25.12,12.76,6.88
23.92,12.65,7.17
19.31,9.94,3.49
23.9,9.28,3.36
23.36,9.03,3.57
31.61,9.84,4.08
25.61,9.79,4.86
23.93,9.63,3.87
23.7,9.78,2.09
26.83,9.28,2.85
24.33,9.15,7.84
22.14,9.8,3.85
23.99,9.61,3.06
27,10.13,1.43
27.05,10.23,2.64
26.48,10.18,2.21
26.55,11.54,3.11
26.46,13.45,1.95
26.57,12.67,2.21
28.91,12.46,2.06
26.28,12.23,1.67
29.4,13.13,1.73
29.51,12.47,2.38
28.09,12.98,3.09
31.03,13.13,1.59
26.88,12.53,2.9
33.15,12.5,1.65
40.2,13.13,1.95
39.34,12.54,3.1
36.77,12.7,2.23
40.78,12.91,2.02
42.87,14.34,2.78
46.1,13.41,6.54
63.07,13.84,3.61
64.18,14.15,2.04
70.89,14.91,1.47
79.59,13.05,1.82
82.39,14.73,2.19
78.55,13.86,1.7
72.78,14.01,1.7
62.97,13.57,2.5
62.32,13.78,1.88
62.11,13.66,1.96
61.63,12.31,1.82
50.94,13.18,3.18
47.7,11.62,3.34
34.06,11.99,1.48
31.75,11.61,2.02
30.17,11.09,1.32
31.46,10.18,1.39
31.54,10.58,1.65
24.86,10.08,1.52
24.5,10.9,1.28
24.54,10.84,1.81
21.51,10.31,1.17
20.64,9.78,1.09
19.45,9.79,1.31
19.6,9.89,2.55
19.4,9.23,1.21
20.32,9.5,1.79
20.34,9.32,1.5
22.64,9.54,1.42
25.55,9.05,1.44
21.72,9.52,1.26
21.74,9.96,1.27
19.3,10.03,1.31
18.08,9.85,1.42
18.89,9.72,1.19
17.7,9.68,1.44
16.83,10.15,0.99
17.92,10.34,1.16
18.11,11.03,1.2
19.3,10.24,1.67
17.31,10.35,2.53
17.96,10.01,1.78
17.51,9.6,1.52
17.56,9.98,1.7
18.03,9.55,2.07
19.49,9.75,2.62
21.27,9.96,3.58
21.96,9.72,4.52
21.64,10.01,3.81
19.97,9.93,3.16
21.23,9.78,3.43
19.86,10.56,3.09
21.83,10.06,6.66
23.37,9.49,2.95
24.24,10.34,3.24
25.65,9.78,6.29
28.41,10.12,3.64
27,9.88,4.11
28.52,10.39,3.41
32.75,9.87,3.86
28.18,10.94,3.9
31.72,9.88,4.87
40.82,9.85,2.73
29.8,10.01,2.92
37.13,10.31,5.3
42.63,10.31,2.65
59.56,10.1,3.18
30.88,10.12,3.19
32.52,10.38,1.96
31.08,9.65,3.61
33.79,10.31,2.7
35.76,9.61,1.94
41.19,9.91,2.14
38.27,9.66,2.89
45.27,9.99,2.43
46.61,10.08,3.8
45.07,10.61,2.97
47.03,10.53,2.35
48.48,10.49,2.8
50.15,10.13,2.31
52.09,10.57,2.6
53.39,11.33,4.68
51.1,11.6,2.77
40.37,11.08,2.55
42.48,11.23,2.05
44.44,11.28,3.52
38.95,12.06,2.31
35.69,10.63,2.68
35.57,10.84,2.07
34.91,11.58,2.75
38.18,11.06,1.39
34.02,11.21,1.98
29.68,10.27,1.43
24.57,10.89,1.56
23.84,11.07,1.25
23.65,11.44,1.18
24.4,10.78,2.35
24.43,11.06,1.83
24.23,10.5,1.95
19.53,10.73,1.9
20.43,11.4,2.28
20.03,10.73,1.78
21.06,11.04,1.69
23.67,11.01,2.33
18.83,10.49,2.08
17.38,10.44,1.57
15.91,10.38,1.77
15.77,10.54,2.05
14.52,10.75,1.81
13.38,10.54,1.83
12.33,11.35,2.19
12.19,10.35,1.96
10.65,10.31,2.03
11.62,10.54,2.19
10.01,10.48,2.32
12.21,10.6,2.82
13.66,10.24,2.53
10.3,10.93,2.72
10.5,10.86,2.65
14.84,10.26,2.58
19.45,10.08,2.55
19.38,10.57,3.23
19.16,10.69,3.37
19.92,11.21,4.1
17.09,10.8,2.84
18.71,10.76,3.06
19.74,10.98,4.14
20.02,10.28,3.21
21.88,10.07,4.14
24.6,10.21,2.57
17.35,10.16,4.7
16.94,10.17,2.62
16.69,10.24,2.65
17.01,10.06,2.36
17.27,10.91,2.83
17.48,10.07,2.55
15.56,10.76,6.47
15.58,9.75,2.19
16.77,9.5,2.2
20.99,9.72,3.73
17.45,9.66,2.3
17.47,9.85,5.86
19.62,9.44,5.04
20.63,9.17,4.43
22.43,9.18,3.81
20.81,8.94,7.26
21.56,8.9,3.09
24.02,9.06,8.73
20.83,9.02,5.15
20.77,9.22,4.3
21.68,9.38,6.58
28.2,9.12,6.92
26.38,9.73,7.03
27.02,9.53,8.1
24.02,9.01,9.38
25.55,9.13,7.45
29.24,9.13,5.31
27.58,9.05,3.88
26.14,8.67,4.22
24.22,8.63,4.57
28.45,10.29,4.78
34.25,9.04,3.94
29.14,10.06,4.56
23.87,9.17,6.22
27.99,10.26,4.38
27.66,9.19,4.44
30.28,9.61,4.5
34.81,9.54,3.94
37.46,9.88,3.38
37.02,9.93,3.05
36.75,10.4,2.8
32.73,10.17,2.72
28.35,10.93,2.66
31.87,9.68,3.63
29.87,9.93,2.59
30.74,10.06,3.4
31.97,9.48,2.98
38.28,8.35,1.91
39.38,8.62,2.26
39.76,8.04,1.68
38.03,8.4,1.84
36.51,8.89,2.43
35.76,9.03,2.41
33.99,8.52,1.8
32.5,9.53,2.02
32.67,9.05,3.54
33.51,9.73,1.78
32.9,9.59,2.42
31.97,9.58,1.74
33.92,9.64,2.31
30.52,10.03,2
29.06,10.6,2.68
27.24,10.98,1.94
25.94,10.99,2.83
24.05,14.51,1.96
24.44,16.6,1.63
23.85,16.99,1.7
22.86,16.91,1.42
22.01,17.95,2.47
21.38,18.64,2.11
22.51,17.62,1.7
21.9,17.85,1.68
20.67,16.4,1.72
20.95,15.69,2.52
22.52,17.86,1.84
23.73,17.56,1.61
21.89,17.75,1.33
24.02,17.96,1.75
22.96,18.51,2.27
21.93,15.81,1.68
21.64,17.08,1.77
20.28,16.98,2.59
20.66,16.98,3.03
21,14.8,3.85
20.86,14.69,2.82
20.13,14.81,2.75
18.96,14.58,3.03
19.4,14.08,2.92
20.01,13.25,2.96
20.06,12.35,2.79
20.56,12.75,2.84
22.05,12.95,2.53
23.25,13.1,2.47
24.74,13.15,2.42
24.95,12.95,2.89
23.2,12.83,3.21
26.09,13.31,2.65
26.78,12.59,3.08
25.79,12.52,3.08
34.7,13.09,3.25
37.48,11.98,3.31
36.61,12.84,2.37
38.6,12.97,3.42
30.41,12.48,2.61
31.26,13.28,2.72
30.91,12.65,2.74
30.75,12.63,4.3
29.48,12.61,2.47
28.75,12.59,2.94
27.3,12.98,3.36
29.3,13.05,4.57
32.49,13.48,3.26
30.16,12.74,2.95
30.86,13.53,4.44
27.31,13.28,4.2
27.97,12.32,3.74
26.89,12.34,3.08
28.1,12.22,3.74
25.16,12.53,4.26
24.49,12.52,3.63
22.71,12.16,6.67
23.95,12.46,4.86
24.18,12.64,5.49
23.05,12.27,4.77
21.8,12.86,4.5
21.77,12.64,3.76
19.49,12.32,7.67
20.49,13.05,3.74
19.79,12.77,4.6
20.34,12.77,3.45
18.46,12.23,3.66
19.82,12.74,3.11
18.67,12.45,3.17
16.91,12.48,3.71
18.72,12.66,3.08
16.3,12.71,4.44
17.2,12.69,3.7
17.21,13.34,3.34
18.12,12.2,3.62
21.79,12.21,3.58
18.36,12.07,3.21
16.65,12.24,3.7
16.69,12.69,4.11
17.74,12.69,3.63
18.49,12.32,3.83
17.68,12.65,3.16
16.73,12.21,2.93
17.17,12.2,3.1
17.08,12.76,2.41
17.19,12.03,3.88
18.53,12.86,2.51
17.49,11.71,2.01
16.37,12.58,2.68
