created_at,PM1,PM2,PM4,PM10
2020-06-01 18:43:26 UTC,8.06,8.14,8.14,8.14
2020-06-01 18:36:03 UTC,8.34,8.42,8.42,8.42
2020-06-01 18:28:40 UTC,9.48,9.58,9.58,9.58
2020-06-01 18:21:16 UTC,8.64,8.73,8.73,8.73
2020-06-01 18:13:53 UTC,12,12.13,12.13,12.13
2020-06-01 18:06:34 UTC,12.41,12.54,12.54,12.54
2020-06-01 17:59:15 UTC,12.32,12.45,12.45,12.45
2020-06-01 17:51:55 UTC,12.97,13.1,13.1,13.1
2020-06-01 17:44:11 UTC,12.75,12.88,12.88,12.88
2020-06-01 17:36:46 UTC,12.36,12.49,12.49,12.49
2020-06-01 17:29:15 UTC,12.9,13.04,13.04,13.04
2020-06-01 17:21:42 UTC,13.58,13.72,13.72,13.72
2020-06-01 17:14:09 UTC,14.04,14.19,14.19,14.19
2020-06-01 17:06:27 UTC,12.73,12.86,12.86,12.86
2020-06-01 16:58:23 UTC,12.1,12.23,12.23,12.23
2020-06-01 16:50:49 UTC,11.09,11.21,11.21,11.21
2020-06-01 16:43:26 UTC,13.25,13.39,13.39,13.39
2020-06-01 16:35:57 UTC,14.56,14.71,14.71,14.71
2020-06-01 16:28:12 UTC,13.45,13.59,13.59,13.59
2020-06-01 16:20:44 UTC,11.77,11.89,11.89,11.89
2020-06-01 16:13:19 UTC,11.26,11.38,11.38,11.38
2020-06-01 16:05:26 UTC,11.37,11.49,11.49,11.49
2020-06-01 15:57:52 UTC,11.76,11.88,11.88,11.88
2020-06-01 15:50:21 UTC,11.14,11.25,11.25,11.25
2020-06-01 15:42:53 UTC,11.26,11.38,11.38,11.38
2020-06-01 15:35:23 UTC,10.62,10.73,10.73,10.73
2020-06-01 15:28:02 UTC,9.93,10.04,10.04,10.04
2020-06-01 15:20:32 UTC,10.16,10.27,10.27,10.27
2020-06-01 15:13:06 UTC,11.06,11.18,11.18,11.18
2020-06-01 15:05:40 UTC,11.26,11.38,11.38,11.38
2020-06-01 14:58:17 UTC,11.29,11.41,11.41,11.41
2020-06-01 14:50:41 UTC,13.39,13.53,13.53,13.53
2020-06-01 14:43:16 UTC,13.86,14.01,14.01,14.01
2020-06-01 14:35:55 UTC,14.09,14.23,14.23,14.23
2020-06-01 14:28:34 UTC,12.26,12.38,12.38,12.38
2020-06-01 14:21:09 UTC,11.71,11.83,11.83,11.83
2020-06-01 14:13:44 UTC,11.81,11.94,11.94,11.94
2020-06-01 14:06:19 UTC,14.14,14.29,14.29,14.29
2020-06-01 13:58:57 UTC,10.43,10.54,10.54,10.54
2020-06-01 13:51:34 UTC,11.17,11.29,11.29,11.29
2020-06-01 13:44:11 UTC,9.84,9.94,9.94,9.94
2020-06-01 13:36:50 UTC,9.44,9.54,9.54,9.54
2020-06-01 13:29:29 UTC,9.2,9.29,9.29,9.29
2020-06-01 13:22:06 UTC,9.07,9.16,9.16,9.16
2020-06-01 13:14:43 UTC,9.72,9.83,9.83,9.83
2020-06-01 13:07:22 UTC,9.63,9.73,9.73,9.73
2020-06-01 13:00:01 UTC,8.2,8.29,8.29,8.29
2020-06-01 12:52:40 UTC,7.61,7.69,7.69,7.69
2020-06-01 12:45:13 UTC,6,6.06,6.06,6.06
2020-06-01 12:37:45 UTC,6.09,6.16,6.16,6.16
2020-06-01 12:30:22 UTC,5.68,5.74,5.74,5.74
2020-06-01 12:22:54 UTC,6.3,6.37,6.37,6.37
2020-06-01 12:15:30 UTC,6.66,6.73,6.73,6.73
2020-06-01 12:08:06 UTC,5.49,5.55,5.55,5.55
2020-06-01 12:00:43 UTC,5.1,5.15,5.15,5.15
2020-06-01 11:44:45 UTC,5.76,5.82,5.82,5.82
2020-06-01 11:37:19 UTC,4.98,5.03,5.03,5.03
2020-06-01 11:29:59 UTC,4.93,4.98,4.98,4.98
2020-06-01 11:22:38 UTC,4.71,4.76,4.76,4.76
2020-06-01 11:15:14 UTC,4.76,4.81,4.81,4.81
2020-06-01 11:07:41 UTC,5.04,5.09,5.09,5.09
2020-06-01 11:00:12 UTC,5.36,5.41,5.41,5.41
2020-06-01 10:52:48 UTC,4.61,4.66,4.66,4.66
2020-06-01 10:45:23 UTC,4.52,4.57,4.57,4.57
2020-06-01 10:37:58 UTC,4.32,4.36,4.36,4.36
2020-06-01 10:30:37 UTC,4.01,4.05,4.05,4.05
2020-06-01 10:23:15 UTC,3.66,3.69,3.69,3.69
2020-06-01 10:15:51 UTC,3.61,3.65,3.65,3.65
2020-06-01 10:08:26 UTC,3.69,3.73,3.73,3.73
2020-06-01 10:00:51 UTC,4.16,4.2,4.2,4.2
2020-06-01 09:53:29 UTC,4.11,4.16,4.16,4.16
2020-06-01 09:46:08 UTC,4.38,4.43,4.43,4.43
2020-06-01 09:38:44 UTC,4.19,4.24,4.24,4.24
2020-06-01 09:31:19 UTC,5.24,5.29,5.29,5.29
2020-06-01 09:23:57 UTC,5.33,5.39,5.39,5.39
2020-06-01 09:16:35 UTC,5.38,5.43,5.43,5.43
2020-06-01 09:09:14 UTC,5.39,5.45,5.45,5.45
2020-06-01 09:01:54 UTC,5.16,5.21,5.21,5.21
2020-06-01 08:54:31 UTC,5.21,5.26,5.26,5.26
2020-06-01 08:47:07 UTC,5.38,5.43,5.43,5.43
2020-06-01 08:39:44 UTC,5.08,5.14,5.14,5.14
2020-06-01 08:32:19 UTC,4.68,4.73,4.73,4.73
2020-06-01 08:24:58 UTC,5.23,5.29,5.29,5.29
2020-06-01 08:17:36 UTC,4.78,4.83,4.83,4.83
2020-06-01 08:10:12 UTC,5.17,5.22,5.22,5.22
2020-06-01 08:02:51 UTC,5.22,5.28,5.28,5.28
2020-06-01 07:55:29 UTC,6.08,6.14,6.14,6.14
2020-06-01 07:48:09 UTC,6.33,6.4,6.4,6.4
2020-06-01 07:40:46 UTC,5.63,5.69,5.69,5.69
2020-06-01 07:33:23 UTC,4.92,4.97,4.97,4.97
2020-06-01 07:25:54 UTC,4.56,4.61,4.61,4.61
2020-06-01 07:18:33 UTC,5.47,5.53,5.53,5.53
2020-06-01 07:11:07 UTC,5.84,5.9,5.9,5.9
2020-06-01 07:03:49 UTC,5.96,6.02,6.02,6.02
2020-06-01 06:56:29 UTC,6.08,6.14,6.14,6.14
2020-06-01 06:49:09 UTC,7.09,7.17,7.17,7.17
2020-06-01 06:41:47 UTC,6.7,6.77,6.77,6.77
2020-06-01 06:34:24 UTC,6.25,6.31,6.31,6.31
2020-06-01 06:27:05 UTC,7.33,7.4,7.4,7.4
