created_at,PM1,PM2,PM4,PM10
2021-02-13 04:40:34 UTC,44,44.94,44.94,44.94
2021-02-13 04:26:27 UTC,45.1,46.11,46.11,46.11
2021-02-13 04:18:30 UTC,46.14,47.17,47.17,47.17
2021-02-13 04:10:33 UTC,58.9,60.22,60.22,60.22
2021-02-13 04:02:48 UTC,49.86,50.98,50.98,50.98
2021-02-13 03:54:24 UTC,54.72,55.94,55.94,55.94
2021-02-13 03:46:27 UTC,48.2,49.28,49.28,49.28
2021-02-13 03:38:13 UTC,45.71,46.73,46.73,46.73
2021-02-13 03:30:33 UTC,31.94,32.65,32.65,32.65
2021-02-13 03:22:41 UTC,29.53,30.19,30.19,30.19
2021-02-13 03:14:39 UTC,33.55,34.3,34.3,34.3
2021-02-13 03:06:53 UTC,26.75,27.35,27.35,27.35
2021-02-13 02:59:25 UTC,27.72,28.34,28.34,28.34
2021-02-13 02:45:26 UTC,28.79,29.44,29.44,29.44
2021-02-13 02:37:41 UTC,35.91,36.69,36.71,36.69
2021-02-13 02:23:46 UTC,29.27,29.92,29.92,29.92
2021-02-13 02:16:06 UTC,38.42,39.28,39.28,39.28
2021-02-13 02:08:22 UTC,37.81,38.66,38.66,38.66
2021-02-13 02:00:46 UTC,37.04,37.87,37.87,37.87
2021-02-13 01:53:06 UTC,33.72,34.48,34.48,34.48
2021-02-13 01:45:30 UTC,33.91,34.67,34.67,34.67
2021-02-13 01:37:51 UTC,31.91,32.62,32.62,32.62
2021-02-13 01:30:06 UTC,28.85,29.5,29.5,29.5
2021-02-13 01:22:26 UTC,25.23,25.79,25.79,25.79
2021-02-13 01:14:47 UTC,25.15,25.71,25.71,25.71
2021-02-13 01:06:57 UTC,24.42,24.97,24.97,24.97
2021-02-13 00:59:01 UTC,22.45,22.95,22.95,22.95
2021-02-13 00:51:27 UTC,23.64,24.17,24.17,24.17
2021-02-13 00:43:29 UTC,22.69,23.19,23.19,23.19
2021-02-13 00:35:45 UTC,18.51,18.93,18.93,18.93
2021-02-13 00:15:43 UTC,21.03,21.5,21.5,21.5
2021-02-13 00:07:57 UTC,22.35,22.85,22.85,22.85
2021-02-13 00:00:16 UTC,21.52,22,22,22
2021-02-12 23:40:10 UTC,22.02,22.51,22.51,22.51
2021-02-12 23:32:27 UTC,20.32,20.77,20.77,20.77
2021-02-12 23:24:41 UTC,20.4,20.85,20.85,20.85
2021-02-12 23:17:07 UTC,21.31,21.78,21.78,21.78
2021-02-12 23:09:20 UTC,20.54,21,21,21
2021-02-12 23:01:42 UTC,21.7,22.19,22.19,22.19
2021-02-12 22:53:42 UTC,20.89,21.36,21.36,21.36
2021-02-12 22:45:56 UTC,22.79,23.3,23.3,23.3
2021-02-12 22:38:15 UTC,22.18,22.68,22.68,22.68
2021-02-12 22:30:37 UTC,22.87,23.39,23.39,23.39
2021-02-12 22:22:48 UTC,22.15,22.65,22.65,22.65
2021-02-12 22:15:10 UTC,22.42,22.92,22.92,22.92
2021-02-12 22:07:22 UTC,23.16,23.68,23.68,23.68
2021-02-12 21:59:38 UTC,20.04,20.49,20.49,20.49
2021-02-12 21:51:50 UTC,19.58,20.02,20.02,20.02
2021-02-12 21:44:17 UTC,24.29,24.83,24.83,24.83
2021-02-12 21:36:28 UTC,22.41,22.92,22.92,22.92
2021-02-12 21:28:40 UTC,22.56,23.06,23.06,23.06
2021-02-12 21:21:03 UTC,24.49,25.03,25.03,25.03
2021-02-12 21:13:27 UTC,24.94,25.49,25.49,25.49
2021-02-12 21:05:48 UTC,22.71,23.21,23.21,23.21
2021-02-12 20:58:14 UTC,23.94,24.49,24.47,24.49
2021-02-12 20:38:13 UTC,24.27,24.81,24.81,24.81
2021-02-12 20:30:28 UTC,25.95,26.53,26.53,26.53
2021-02-12 20:22:41 UTC,24.77,25.33,25.34,25.33
2021-02-12 20:02:32 UTC,23.83,24.36,24.36,24.36
2021-02-12 19:54:45 UTC,22.91,23.42,23.42,23.42
2021-02-12 19:47:07 UTC,22.98,23.49,23.49,23.49
2021-02-12 19:39:14 UTC,23.28,23.8,23.8,23.8
2021-02-12 19:31:16 UTC,24.82,25.37,25.37,25.37
2021-02-12 19:23:28 UTC,25.91,26.49,26.49,26.49
2021-02-12 19:15:40 UTC,23.93,24.46,24.46,24.46
2021-02-12 19:07:54 UTC,24.77,25.32,25.32,25.32
2021-02-12 18:59:57 UTC,27.04,27.64,27.64,27.64
2021-02-12 18:52:05 UTC,27.45,28.07,28.07,28.07
2021-02-12 18:44:37 UTC,27.04,27.65,27.65,27.65
2021-02-12 18:36:49 UTC,24.33,24.87,24.87,24.87
2021-02-12 18:29:12 UTC,28.11,28.74,28.74,28.74
2021-02-12 18:21:29 UTC,25.17,25.73,25.73,25.73
2021-02-12 18:13:46 UTC,26.98,27.6,27.6,27.6
2021-02-12 17:59:52 UTC,31.12,31.82,31.82,31.82
2021-02-12 17:52:20 UTC,25.64,26.21,26.21,26.21
2021-02-12 17:37:42 UTC,26.69,27.28,27.28,27.28
2021-02-12 17:29:56 UTC,25.38,25.95,25.95,25.95
2021-02-12 17:22:15 UTC,29.86,30.53,30.53,30.53
2021-02-12 17:05:22 UTC,23.74,24.27,24.27,24.27
2021-02-12 16:57:35 UTC,27.75,28.37,28.37,28.37
2021-02-12 16:49:43 UTC,23.59,24.12,24.12,24.12
2021-02-12 16:41:54 UTC,29.57,30.23,30.23,30.23
2021-02-12 16:18:35 UTC,24.95,25.51,25.51,25.51
2021-02-12 16:04:33 UTC,29.21,29.86,29.86,29.86
2021-02-12 15:56:31 UTC,23.04,23.56,23.56,23.56
2021-02-12 15:48:47 UTC,23.25,23.77,23.77,23.77
2021-02-12 15:40:29 UTC,22.31,22.81,22.81,22.81
2021-02-12 15:32:38 UTC,20.63,21.09,21.09,21.09
2021-02-12 15:24:18 UTC,22.42,22.92,22.92,22.92
2021-02-12 15:16:38 UTC,21.53,22.01,22.01,22.01
2021-02-12 15:08:56 UTC,20.69,21.15,21.15,21.15
2021-02-12 14:55:10 UTC,22.64,23.15,23.17,23.15
2021-02-12 14:41:14 UTC,16.07,16.43,16.43,16.43
2021-02-12 14:33:38 UTC,16.78,17.16,17.16,17.16
2021-02-12 14:25:50 UTC,16.67,17.05,17.05,17.05
2021-02-12 14:18:07 UTC,17.36,17.74,17.74,17.74
2021-02-12 14:01:31 UTC,27.84,28.46,28.46,28.46
2021-02-10 04:18:01 UTC,25.38,25.95,25.95,25.95
2021-02-10 04:10:25 UTC,31.85,32.56,32.56,32.56
2021-02-10 04:02:44 UTC,29.44,30.1,30.1,30.1
2021-02-10 03:48:55 UTC,25.85,26.43,26.43,26.43
2021-02-10 03:41:06 UTC,27.49,28.11,28.11,28.11
2021-02-10 03:27:24 UTC,23.24,23.76,23.76,23.76
2021-02-10 03:19:54 UTC,24.62,25.17,25.17,25.17
2021-02-10 03:12:12 UTC,34.86,35.64,35.64,35.64
2021-02-10 03:04:41 UTC,32.97,33.7,33.7,33.7
2021-02-10 02:57:06 UTC,30.3,30.98,30.98,30.98
2021-02-10 02:49:26 UTC,28.66,29.31,29.31,29.31
2021-02-10 02:41:42 UTC,26.2,26.79,26.79,26.79
2021-02-10 02:34:06 UTC,23.75,24.28,24.28,24.28
2021-02-10 02:26:32 UTC,23.39,23.91,23.91,23.91
2021-02-10 02:09:56 UTC,30.29,30.97,30.97,30.97
2021-02-10 02:02:27 UTC,27.92,28.55,28.58,28.55
2021-02-10 01:48:44 UTC,25.3,25.87,25.87,25.87
2021-02-10 01:39:35 UTC,24.37,24.92,24.92,24.92
2021-02-10 01:32:01 UTC,20.9,21.37,21.37,21.37
2021-02-10 01:11:52 UTC,19.46,19.9,19.9,19.9
2021-02-10 01:03:20 UTC,18.77,19.19,19.19,19.19
2021-02-10 00:55:43 UTC,18.16,18.56,18.56,18.56
2021-02-10 00:40:14 UTC,17.12,17.51,17.51,17.51
2021-02-10 00:30:57 UTC,15.36,15.7,15.7,15.7
2021-02-10 00:22:37 UTC,16.25,16.61,16.61,16.61
2021-02-10 00:14:52 UTC,16.21,16.58,16.58,16.58
2021-02-10 00:07:13 UTC,15.71,16.07,16.07,16.07
2021-02-09 23:58:27 UTC,14.4,14.73,14.73,14.73
2021-02-09 23:50:46 UTC,13.62,13.93,13.93,13.93
2021-02-09 23:42:57 UTC,12.86,13.15,13.15,13.15
2021-02-09 23:35:16 UTC,15.57,15.92,15.92,15.92
2021-02-09 23:27:38 UTC,15.72,16.07,16.07,16.07
2021-02-09 23:20:10 UTC,16.3,16.66,16.66,16.66
2021-02-09 23:11:32 UTC,14.75,15.08,15.08,15.08
2021-02-09 23:04:00 UTC,13.55,13.86,13.86,13.86
2021-02-09 22:56:31 UTC,14.91,15.24,15.24,15.24
2021-02-09 22:48:50 UTC,15.63,15.98,15.98,15.98
2021-02-09 22:41:04 UTC,16.74,17.12,17.12,17.12
2021-02-09 22:33:29 UTC,15.44,15.79,15.79,15.79
2021-02-09 22:25:54 UTC,14.38,14.71,14.7,14.71
2021-02-09 22:06:05 UTC,14.13,14.45,14.45,14.45
2021-02-09 21:58:23 UTC,15.04,15.37,15.37,15.37
2021-02-09 21:50:43 UTC,15.85,16.2,16.2,16.2
2021-02-09 21:42:54 UTC,16.44,16.81,16.83,16.81
2021-02-09 21:16:59 UTC,15.62,15.97,15.97,15.97
2021-02-09 21:09:07 UTC,15.55,15.9,15.9,15.9
2021-02-09 21:01:29 UTC,16.68,17.05,17.05,17.05
2021-02-09 20:53:13 UTC,17.68,18.07,18.07,18.07
2021-02-09 20:45:29 UTC,16.71,17.08,17.08,17.08
2021-02-09 20:37:42 UTC,17.59,17.99,17.99,17.99
2021-02-09 20:29:55 UTC,16.82,17.2,17.2,17.2
2021-02-09 20:22:19 UTC,17.15,17.53,17.53,17.53
2021-02-09 20:14:46 UTC,15.93,16.29,16.29,16.29
2021-02-09 20:07:20 UTC,16.47,16.83,16.83,16.83
2021-02-09 19:59:49 UTC,17.63,18.03,18.03,18.03
2021-02-09 19:51:56 UTC,18.28,18.69,18.69,18.69
2021-02-09 19:44:24 UTC,19.79,20.24,20.24,20.24
